Date,Close,Return,Direction,vader_neg,vader_neu,vader_pos,vader_compound,n_posts,return_lag_1,return_lag_2,return_lag_3,vader_compound_lag_1,vader_compound_lag_2,vader_compound_lag_3,vader_compound_rolling_3,vader_compound_rolling_7,n_posts_log,return_rolling_3,return_rolling_7,volatility_7
2020-01-13,3288.1298828125,0.6976215252569862,0,0.0608,0.8259,0.1133,0.0462,373,-0.2855178689662563,0.6655262605488987,0.4902451368978155,0.0473,-0.0009,-0.0223,0.030866666666666667,0.0093,5.924255797414532,0.3592099722798762,0.13355734590228618,0.5520333963403476
2020-01-14,3283.14990234375,-0.1514532772802224,1,0.0684,0.8406,0.0909,0.0283,444,0.6976215252569862,-0.2855178689662563,0.6655262605488987,0.0462,0.0473,-0.0009,0.0406,0.01317142857142857,6.09807428216624,0.08688345967016915,0.2127764571771884,0.439869640372773
2020-01-15,3289.2900390625,0.1870196884512287,1,0.0723,0.8451,0.0827,0.0114,383,-0.1514532772802224,0.6976215252569862,-0.2855178689662563,0.0283,0.0462,0.0473,0.02863333333333333,0.013485714285714283,5.950642552587727,0.24439597880933084,0.1890167999455469,0.435481767245526
2020-01-16,3316.81005859375,0.8366553026468271,1,0.0688,0.847,0.0842,0.0116,376,0.1870196884512287,-0.1514532772802224,0.6976215252569862,0.0114,0.0283,0.0462,0.0171,0.01737142857142857,5.932245187448011,0.29074057127261116,0.3485852525078968,0.43946682665579423
2020-01-17,3329.6201171875,0.3862162248501333,0,0.0735,0.8201,0.1018,0.0278,431,0.8366553026468271,0.1870196884512287,-0.1514532772802224,0.0116,0.0114,0.0283,0.01693333333333333,0.02452857142857143,6.068425588244111,0.4699637386493964,0.3337239793582279,0.43562007826815813
2020-01-21,3320.7900390625,-0.2651977647365577,1,0.0887,0.8311,0.0802,-0.0134,434,0.3862162248501333,0.8366553026468271,0.1870196884512287,0.0278,0.0116,0.0114,0.008666666666666665,0.02274285714285714,6.075346031088684,0.3192245875868009,0.2007634043174484,0.45888524630930716
2020-01-22,3321.75,0.0289076071118055,1,0.0739,0.8371,0.087,0.0247,498,-0.2651977647365577,0.3862162248501333,0.8366553026468271,-0.0134,0.0278,0.0116,0.013033333333333333,0.019514285714285713,6.212606095751519,0.0499753557417937,0.24568132947145724,0.4168124306303534
2020-01-23,3325.5400390625,0.1140976612478361,0,0.0528,0.8538,0.0888,0.0531,436,0.0289076071118055,-0.2651977647365577,0.3862162248501333,0.0247,-0.0134,0.0278,0.021466666666666665,0.0205,6.07993319509559,-0.0407308321256387,0.16232077747015008,0.36670084622543075
2020-01-24,3295.469970703125,-0.9042160974207404,0,0.0859,0.8359,0.0781,-0.0113,570,0.1140976612478361,0.0289076071118055,-0.2651977647365577,0.0531,0.0247,-0.0134,0.022166666666666664,0.014842857142857142,6.3473892096560105,-0.25373694302036626,0.054783231735790375,0.5423580529509131
2020-01-27,3243.6298828125,-1.5730711659182384,1,0.0821,0.8474,0.067,-0.02,561,-0.9042160974207404,0.1140976612478361,0.0289076071118055,-0.0113,0.0531,0.0247,0.007266666666666667,0.010357142857142858,6.331501849893691,-0.7877298673637142,-0.1966583188884192,0.8118679112001523
